200	MB_PD               	007	I	GOODSMVT_ITEM                 	STGE_LOC                      	ITEM      	LGORT                         	
200	MB_PD               	008	I	GOODSMVT_ITEM                 	LINE_ID                       	ITEM      	AFONR                         	
200	MB_PD               	009	I	GOODSMVT_ITEM                 	ENTRY_QNT                     	ITEM      	MENGE                         	
200	MB_PD               	010	I	GOODSMVT_ITEM                 	SALES_ORD                     	ITEM      	KDAUF                         	
200	MB_PD               	011	I	GOODSMVT_ITEM                 	S_ORD_ITEM                    	ITEM      	KDPOS                         	
200	MB_PD               	013	I	GOODSMVT_ITEM                 	VAL_SALES_ORD                 	ITEM      	KDAUF                         	
200	MB_PD               	014	I	GOODSMVT_ITEM                 	VAL_S_ORD_ITEM                	ITEM      	KDPOS                         	
200	MB_PD               	015	I	GOODSMVT_ITEM                 	MOVE_TYPE                     	ITEM      	MENGE                         	
200	MB_PD               	016	R	MATDOCUMENTYEAR               	                              	HEAD      	MJAHR                         	
200	MB_PD               	017	R	MATERIALDOCUMENT              	                              	HEAD      	MBLNR                         	
200	MB_PD               	018	R	RETURN                        	                              	RET       	                              	
200	MB_PD               	012	I	GOODSMVT_ITEM                 	SPEC_STOCK                    	ITEM      	KDAUF                         	
200	MB_USE              	001	H	GOODSMVT_CODE                 	GM_CODE                       	          	                              	06
200	MB_USE              	002	H	GOODSMVT_HEADER               	PSTNG_DATE                    	HEAD      	BUDAT                         	
200	MB_USE              	003	H	GOODSMVT_HEADER               	REF_DOC_NO                    	HEAD      	AFONO                         	
200	MB_USE              	004	H	GOODSMVT_HEADER               	HEADER_TXT                    	HEAD      	REMARK1                       	
200	MB_USE              	005	I	GOODSMVT_ITEM                 	MATERIAL                      	ITEM      	MATNR                         	
200	MB_USE              	006	I	GOODSMVT_ITEM                 	PLANT                         	ITEM      	WERKS                         	
200	MB_USE              	007	I	GOODSMVT_ITEM                 	STGE_LOC                      	ITEM      	LGORT                         	
200	MB_USE              	008	I	GOODSMVT_ITEM                 	MOVE_TYPE                     	ITEM      	BWART                         	
200	MB_USE              	009	I	GOODSMVT_ITEM                 	COSTCENTER                    	ITEM      	KOSTL                         	
200	MB_USE              	010	I	GOODSMVT_ITEM                 	ENTRY_QNT                     	ITEM      	MENGE                         	
200	MB_USE              	011	I	GOODSMVT_ITEM                 	LINE_ID                       	ITEM      	AFONR                         	
200	MB_USE              	012	I	GOODSMVT_ITEM                 	VAL_SALES_ORD                 	ITEM      	KDAUF                         	
200	MB_USE              	013	I	GOODSMVT_ITEM                 	VAL_S_ORD_ITEM                	ITEM      	KDPOS                         	
200	MB_USE              	014	I	GOODSMVT_ITEM                 	SPEC_STOCK                    	ITEM      	SOBKZ                         	
200	MB_USE              	015	R	MATDOCUMENTYEAR               	                              	HEAD      	MJAHR                         	
200	MB_USE              	016	R	MATERIALDOCUMENT              	                              	HEAD      	MBLNR                         	
200	MB_USE              	017	R	RETURN                        	                              	RET       	                              	
200	MB_MOVE_O           	001	H	GOODSMVT_CODE                 	GM_CODE                       	          	                              	06
200	MB_MO_GI            	001	H	GOODSMVT_CODE                 	GM_CODE                       	          	                              	03
200	MB_MO_GI            	002	H	GOODSMVT_HEADER               	PSTNG_DATE                    	HEAD      	BUDAT                         	
200	MB_MO_GI            	003	H	GOODSMVT_HEADER               	REF_DOC_NO                    	HEAD      	AFONO                         	
200	MB_MO_GI            	004	H	GOODSMVT_HEADER               	HEADER_TXT                    	HEAD      	REMARK1                       	
200	MB_MO_GI            	005	I	GOODSMVT_ITEM                 	MATERIAL                      	ITEM      	MATNR                         	
200	MB_MO_GI            	006	I	GOODSMVT_ITEM                 	PLANT                         	ITEM      	WERKS                         	
200	MB_MO_GI            	007	I	GOODSMVT_ITEM                 	STGE_LOC                      	ITEM      	LGORT                         	
200	MB_MO_GI            	021	I	GOODSMVT_ITEM                 	XSTOB                         	ITEM      	RETPO                         	
200	MB_MO_GI            	009	I	GOODSMVT_ITEM                 	ENTRY_QNT                     	ITEM      	MENGE                         	
200	MB_MO_GI            	010	I	GOODSMVT_ITEM                 	LINE_ID                       	ITEM      	AFONR                         	
200	MB_MO_GI            	011	I	GOODSMVT_ITEM                 	MVT_IND                       	          	                              	
200	MB_MO_GI            	012	I	GOODSMVT_ITEM                 	ORDERID                       	ITEM      	AUFNR                         	
200	MB_MO_GI            	013	I	GOODSMVT_ITEM                 	RESERV_NO                     	ITEM      	RSNUM                         	
200	MB_MO_GI            	014	I	GOODSMVT_ITEM                 	RES_ITEM                      	ITEM      	RSPOS                         	
200	MB_MO_GI            	015	I	GOODSMVT_ITEM                 	SPEC_STOCK                    	ITEM      	SOBKZ                         	
200	MB_MO_GI            	016	R	MATDOCUMENTYEAR               	                              	HEAD      	MJAHR                         	
200	MB_MO_GI            	017	R	MATERIALDOCUMENT              	                              	HEAD      	MBLNR                         	
200	MB_MO_GI            	018	R	RETURN                        	                              	RET       	                              	
200	MB_MO_GR            	001	H	GOODSMVT_CODE                 	GM_CODE                       	          	                              	02
200	MB_MO_GR            	002	H	GOODSMVT_HEADER               	PSTNG_DATE                    	HEAD      	BUDAT                         	
200	MB_MO_GR            	003	H	GOODSMVT_HEADER               	REF_DOC_NO                    	HEAD      	AFONO                         	
200	MB_MO_GR            	004	H	GOODSMVT_HEADER               	HEADER_TXT                    	HEAD      	REMARK1                       	
200	MB_MO_GR            	005	I	GOODSMVT_ITEM                 	PLANT                         	ITEM      	WERKS                         	
200	MB_MO_GR            	006	I	GOODSMVT_ITEM                 	STGE_LOC                      	ITEM      	LGORT                         	
200	MB_MO_GR            	007	I	GOODSMVT_ITEM                 	ENTRY_QNT                     	ITEM      	MENGE                         	
200	MB_MO_GR            	008	I	GOODSMVT_ITEM                 	LINE_ID                       	ITEM      	AFONR                         	
200	MB_MO_GR            	009	I	GOODSMVT_ITEM                 	MVT_IND                       	          	                              	F
200	MB_MO_GR            	010	I	GOODSMVT_ITEM                 	ORDERID                       	ITEM      	AUFNR                         	
200	MB_MO_GR            	011	I	GOODSMVT_ITEM                 	SPEC_STOCK                    	ITEM      	SOBKZ                         	
200	MB_MO_GR            	012	I	GOODSMVT_ITEM                 	MOVE_MAT                      	ITEM      	MATNR                         	
200	MB_MO_GR            	013	I	GOODSMVT_ITEM                 	ORDER_ITNO                    	ITEM      	POSNR_MO                      	
200	MB_MO_GR            	018	I	GOODSMVT_ITEM                 	MOVE_TYPE                     	          	                              	101
200	MB_MO_GR            	020	R	MATDOCUMENTYEAR               	                              	HEAD      	MJAHR                         	
200	MB_MO_GR            	021	R	MATERIALDOCUMENT              	                              	HEAD      	MBLNR                         	
200	MB_MO_GR            	022	R	RETURN                        	                              	RET       	                              	
200	MB_PO_GR            	001	H	GOODSMVT_CODE                 	GM_CODE                       	          	                              	01
200	MB_PO_GR            	002	H	GOODSMVT_HEADER               	PSTNG_DATE                    	HEAD      	BUDAT                         	
200	MB_PO_GR            	003	H	GOODSMVT_HEADER               	REF_DOC_NO                    	HEAD      	AFONO                         	
200	MB_PO_GR            	004	H	GOODSMVT_HEADER               	HEADER_TXT                    	HEAD      	REMARK1                       	
200	MB_MOVE_O           	002	H	GOODSMVT_HEADER               	PSTNG_DATE                    	HEAD      	BUDAT                         	
200	MB_PO_GR            	007	I	GOODSMVT_ITEM                 	PO_NUMBER                     	ITEM      	EBELN                         	
200	MB_PO_GR            	008	I	GOODSMVT_ITEM                 	PO_ITEM                       	ITEM      	EBELP                         	
200	MB_PO_GR            	011	I	GOODSMVT_ITEM                 	MATERIAL                      	ITEM      	MATNR                         	
200	MB_PO_GR            	014	I	GOODSMVT_ITEM                 	ORDERID                       	ITEM      	AUFNR                         	
200	MB_PO_GR            	015	I	GOODSMVT_ITEM                 	MVT_IND                       	          	                              	B
200	MB_PO_GR            	016	I	GOODSMVT_ITEM                 	LINE_ID                       	ITEM      	AFONR                         	
200	MB_PO_GR            	017	I	GOODSMVT_ITEM                 	ENTRY_QNT                     	ITEM      	MENGE                         	
200	MB_PO_GR            	018	I	GOODSMVT_ITEM                 	STGE_LOC                      	ITEM      	LGORT                         	
200	MB_PO_GR            	019	I	GOODSMVT_ITEM                 	PLANT                         	ITEM      	WERKS                         	
200	MB_PO_GR            	020	R	MATDOCUMENTYEAR               	                              	HEAD      	MJAHR                         	
200	MB_PO_GR            	021	R	MATERIALDOCUMENT              	                              	HEAD      	MBLNR                         	
200	MB_PO_GR            	022	R	RETURN                        	                              	RET       	                              	
200	MB_MOVE_O           	003	H	GOODSMVT_HEADER               	REF_DOC_NO                    	HEAD      	AFONO                         	
200	MB_MOVE_O           	004	H	GOODSMVT_HEADER               	HEADER_TXT                    	HEAD      	REMARK1                       	
200	MB_MOVE_O           	005	I	GOODSMVT_ITEM                 	MATERIAL                      	ITEM      	MATNR                         	
200	MB_MOVE_O           	006	I	GOODSMVT_ITEM                 	PLANT                         	ITEM      	WERKS                         	
200	MB_MOVE_O           	007	I	GOODSMVT_ITEM                 	STGE_LOC                      	ITEM      	LGORT                         	
200	MB_MOVE_O           	008	I	GOODSMVT_ITEM                 	MOVE_TYPE                     	ITEM      	BWART                         	
200	MB_MOVE_O           	010	I	GOODSMVT_ITEM                 	ENTRY_QNT                     	ITEM      	MENGE                         	
200	MB_MOVE_O           	011	I	GOODSMVT_ITEM                 	LINE_ID                       	ITEM      	AFONR                         	
200	MB_MOVE_O           	012	I	GOODSMVT_ITEM                 	VENDOR                        	HEAD      	LIFNR                         	
200	MB_MOVE_O           	014	I	GOODSMVT_ITEM                 	SPEC_STOCK                    	ITEM      	SOBKZ                         	
200	MB_MOVE_O           	015	R	MATDOCUMENTYEAR               	                              	HEAD      	MJAHR                         	
200	MB_MOVE_O           	016	R	MATERIALDOCUMENT              	                              	HEAD      	MBLNR                         	
200	MB_MOVE_O           	017	R	RETURN                        	                              	RET       	                              	
200	MB_MOVE_E           	001	H	GOODSMVT_CODE                 	GM_CODE                       	          	                              	06
200	MB_MOVE_E           	002	H	GOODSMVT_HEADER               	PSTNG_DATE                    	HEAD      	BUDAT                         	
200	MB_MOVE_E           	003	H	GOODSMVT_HEADER               	REF_DOC_NO                    	HEAD      	AFONO                         	
200	MB_MOVE_E           	004	H	GOODSMVT_HEADER               	HEADER_TXT                    	HEAD      	REMARK1                       	
200	MB_MOVE_E           	005	I	GOODSMVT_ITEM                 	MATERIAL                      	ITEM      	MATNR                         	
200	MB_MOVE_E           	006	I	GOODSMVT_ITEM                 	PLANT                         	ITEM      	WERKS                         	
200	MB_MOVE_E           	007	I	GOODSMVT_ITEM                 	STGE_LOC                      	ITEM      	LGORT                         	
200	MB_MOVE_E           	008	I	GOODSMVT_ITEM                 	LINE_ID                       	ITEM      	AFONR                         	
200	MB_MOVE_E           	010	I	GOODSMVT_ITEM                 	ENTRY_QNT                     	ITEM      	MENGE                         	
200	MB_MOVE_E           	011	I	GOODSMVT_ITEM                 	SALES_ORD                     	ITEM      	KDAUF                         	
